expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1Red,goal1Blue,goal1Score,goal2Red,goal2Blue,goal2Score,goal3Red,goal3Blue,goal3Score,totalScore
1,4147227816,75,125,75,81,44,0,0,0,0,0,0,0,0,0
2,2073918766,75,125,75,77,48,0,0,0,0,0,0,0,0,0
3,144081124,75,125,75,81,44,0,0,0,0,0,0,0,0,0
4,2408097142,75,125,75,83,42,0,0,0,0,0,0,0,0,0
5,334688405,75,125,75,79,46,0,0,0,0,0,0,0,0,0
6,2580400902,75,125,75,85,40,0,0,0,0,0,0,0,0,0
7,505566748,75,125,75,87,38,0,0,0,0,0,0,0,0,0
8,2701608842,75,125,75,85,40,0,0,0,0,0,0,0,0,0
9,669367541,75,125,75,76,49,0,0,0,0,0,0,0,0,0
10,2962186042,75,125,75,77,48,0,0,0,0,0,0,0,0,0
