expIndex,seed,blueInit,redInit,blueCasualties,redCasualties,goal1,goal2,goal3,totalScore
1,1413340252,75,75,0,50,0.2,0.3,0.5,1
2,2045022460,75,75,0,50,0.2,0.3,0.5,1
3,2929344368,75,75,0,50,0.2,0.3,0.5,1
4,3210250776,75,75,0,50,0.2,0.3,0.5,1
5,3562752684,75,75,0,50,0.2,0.3,0.5,1
6,3971995192,75,75,0,50,0.2,0.3,0.5,1
7,4150730600,75,75,0,50,0.2,0.3,0.5,1
8,4262827308,75,75,0,50,0.2,0.3,0.5,1
9,275331720,75,75,0,50,0.2,0.3,0.5,1
10,476762028,75,75,0,50,0.2,0.3,0.5,1
11,560281936,75,75,0,50,0.2,0.3,0.5,1
12,693804944,75,75,0,50,0.2,0.3,0.5,1
13,730400952,75,75,0,50,0.2,0.3,0.5,1
14,1369296760,75,75,0,50,0.2,0.3,0.5,1
15,1604404668,75,75,0,50,0.2,0.3,0.5,1
16,1834503276,75,75,0,50,0.2,0.3,0.5,1
17,1755806884,75,75,0,50,0.2,0.3,0.5,1
18,1671317992,75,75,0,50,0.2,0.3,0.5,1
19,1649355500,75,75,0,50,0.2,0.3,0.5,1
20,1582412708,75,75,0,50,0.2,0.3,0.5,1
